relativeIndex	absoluteIndex	description	type	f1	recall	precision	mcc	count	tp	p	tn	fn
0	0	[+] (1)	OPENBABEL	0.8345323741007193	0.7265135699373695	0.9802816901408451	0.8406842628174174	479.0	348.0	7.0	18632.0	131.0
1	1	[-] (2)	OPENBABEL	0.8398268398268398	0.7385786802030457	0.9732441471571907	0.8451990924212167	394.0	291.0	8.0	18716.0	103.0
2	2	[#6][CX3](=O) (3 aldehyde or ketone)	OPENBABEL	0.8688654353562006	0.862267609321812	0.8755650093060356	0.7827865928119263	7638.0	10544.0	1052.0	6586.0	936.0
3	3	[CX3H1](=O)[#6] (4 aldehyde)	OPENBABEL	0.3518518518518518	0.25249169435215946	0.5801526717557252	0.37660399055823685	301.0	76.0	55.0	18762.0	225.0
4	4	[#6][CX3](=O)[#6] (5 ketone)	OPENBABEL	0.725681935151827	0.6338028169014085	0.8487158908507223	0.6876153784136599	3337.0	2115.0	377.0	15404.0	1222.0
5	17	[#6,#1]C([#6,#1])([OH])(O[#6]) (18 hemiacetal)	OPENBABEL	0.2686567164179105	0.16216216216216217	0.782608695652174	0.3548452246611069	111.0	18.0	5.0	19002.0	93.0
6	18	[#6,#1]C([#6,#1])(O[#6])(O[#6]) (19 acetal)	OPENBABEL	0.5661538461538462	0.4088888888888889	0.92	0.6106813109566172	225.0	92.0	8.0	18885.0	133.0
7	23	[#6,#1]C([#6,#1])=C([#6,#1])N([#6,#1])[#6,#1] (24 enamine)	OPENBABEL	0.6	0.42857142857142855	1.0	0.6543794989146906	28.0	12.0	0.0	19090.0	16.0
8	24	[#6,#1]C([#6,#1])=C([#6,#1])[OH] (25 enol)	OPENBABEL	0.36879432624113473	0.23423423423423423	0.8666666666666667	0.4491976093149967	111.0	26.0	4.0	19003.0	85.0
9	26	[#6][OH] (27 hydroxy compound)	OPENBABEL	0.7953305903741269	0.7610327778795093	0.8328657314629259	0.7199454176685982	5461.0	12823.0	1305.0	4156.0	834.0
10	27	C[OH] (28 alcohol)	OPENBABEL	0.8579367836054185	0.844271260596117	0.8720519700607259	0.7724564504096348	7314.0	10898.0	1139.0	6175.0	906.0
11	28	[#6][CH2][OH] (29 primary alcohol)	OPENBABEL	0.7992533514339046	0.7354778263585259	0.875139353400223	0.767031204668489	3202.0	2355.0	336.0	15580.0	847.0
12	29	[#6][CH]([#6])[OH] (30 secondary alcohol)	OPENBABEL	0.867073827914496	0.845803399334151	0.8894416804864566	0.8130256359946166	5707.0	4827.0	600.0	12811.0	880.0
13	30	[#6][C]([#6])([#6])[OH] (31 tertiary alcohol)	OPENBABEL	0.5712149532710279	0.4748290863890615	0.7166979362101313	0.5536499120389882	1609.0	764.0	302.0	17207.0	845.0
14	31	[#6,#1]C([#6,#1])([OH])C([#6,#1])([#6,#1])[OH] (32 1,2-diol)	OPENBABEL	0.25806451612903225	0.15384615384615385	0.8	0.35051105051591885	26.0	4.0	1.0	19091.0	22.0
15	33	c[OH] (34 phenol)	OPENBABEL	0.8219946354547673	0.7885380116959064	0.8584160937102113	0.7746241814940953	4275.0	3371.0	556.0	14287.0	904.0
16	34	[OH]cc[OH] (35 1,2-diphenol)	OPENBABEL	0.6954887218045113	0.593900481540931	0.8390022675736961	0.6979040107090255	623.0	370.0	71.0	18424.0	253.0
17	36	[#6]O[#6] (37 ether)	OPENBABEL	0.9011322516633594	0.908235294117647	0.8941394486912208	0.8209468208910757	8500.0	9704.0	780.0	7720.0	914.0
18	37	COC (38 dialkyl ether)	OPENBABEL	0.8886184681460273	0.8601718403547672	0.9190109564702399	0.8257267155712548	7216.0	6207.0	547.0	11355.0	1009.0
19	38	cOC (39 alkylaryl ether)	OPENBABEL	0.8738548273431993	0.8516483516483516	0.8972503617945007	0.8301395076314374	5096.0	4340.0	497.0	13525.0	756.0
20	39	cOc (40 diaryl ether)	OPENBABEL	0.48765432098765443	0.32644628099173556	0.9634146341463414	0.5581721049141225	242.0	79.0	3.0	18873.0	163.0
21	40	[#6]S[#6] (41 thioether)	OPENBABEL	0.7960444993819531	0.763938315539739	0.8309677419354838	0.7878079943851438	843.0	644.0	131.0	18144.0	199.0
22	44	[a] (200 aryl)	OPENBABEL	0.9592314118629909	0.9531794786651171	0.9653606860601984	0.9406935301456982	6023.0	12889.0	282.0	5741.0	206.0
23	45	[!#6;$([N,O,S,F,Cl,Br,I,P])] (201 heteroatom)	OPENBABEL	0.7857142857142857	0.7272727272727273	0.8543689320388349	0.7870348301503372	121.0	18982.0	33.0	88.0	15.0
24	46	[!#6;!$([+0]);!$([F,Cl,Br,I]);!$([o,s,nX3]);!$([Nv5,Pv5,Sv4,Sv6])] (202 HBA)	OPENBABEL	0.8403990024937655	0.7358078602620087	0.9796511627906976	0.8460068557863981	458.0	337.0	7.0	18653.0	121.0
25	47	[$([N,O;!H0]),$(N(C)(C)C)] (203 HBD)	OPENBABEL	0.704035874439462	0.6490041337842917	0.7692650334075724	0.6639726903875706	2661.0	15939.0	934.0	1727.0	518.0
26	48	[R] (204 Ring)	OPENBABEL	0.9180977542932629	0.9041630529054641	0.932468694096601	0.9071989344084809	2306.0	16661.0	221.0	2085.0	151.0
27	49	[$([$([C;$(C=[$([O;D1;$(O=C)])])]);$(C[$([O;$([H1&-0,H0&-1])])]);$(C[#6,#1])])] (205 carboxylic acid)	OPENBABEL	0.8172658290832194	0.7758620689655172	0.8633377135348226	0.7705523793923402	4234.0	3285.0	520.0	14364.0	949.0
